;;;;;;;
artist_name;track_name;popularity;year;genre;danceability;energy;valence
Felix Mendelssohn;Violin Concerto in E Minor, Op. 64, MWV O 14: III. Allegretto non troppo - Allegro molto vivace;23;2012;classical;0,361;0,163;0,28
Claude Debussy;Prélude à l'après-midi d'un faune, L.86;18;2012;classical;0,0607;0,0303;0,0317
Claude Debussy;La Mer, L.109: 2. Play of the Waves (Jeux de vagues);17;2012;classical;0,0967;0,162;0,0377
Claude Debussy;Rêverie, L. 68;20;2012;classical;0,207;0,0454;0,0504
Ludwig van Beethoven;"Piano Sonata No. 8 in C minor, Op. 13 -""Pathétique"": 3. Rondo (Allegro)";16;2012;classical;0,364;0,122;0,25
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Blessed is the man";22;2012;classical;0,165;0,0213;0,0363
Felix Mendelssohn;Violin Concerto in E Minor, Op. 64, MWV O 14: II. Andante;22;2012;classical;0,117;0,0539;0,0354
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Resurrection hymn (Troparion): This day of salvation has com to the world";23;2012;classical;0,192;0,0821;0,0334
Sergei Rachmaninoff;Rachmaninov: Symphony No. 2 in E Minor, Op. 27: II. Allegro molto;22;2012;classical;0,297;0,108;0,141
Sergei Rachmaninoff;Rhapsody on a Theme of Paganini, Op. 43: Rhapsody on a Theme of Paganini, Op. 43;21;2012;classical;0,298;0,15;0,0607
Claude Debussy;Cello Sonata in D Minor: I. Prologue: Lent sostenuto et molto risoluto;20;2012;classical;0,193;0,0443;0,0946
Claude Debussy;La Mer, L.109: 3. Dialogue Of The Wind And The Sea;16;2012;classical;0,101;0,178;0,0343
Claude Debussy;Préludes - Book 2, L.123: 5. Bruyères;20;2012;classical;0,332;0,0157;0,189
Franz Liszt;"Grandes Etudes de Paganini, S141: No. 3 in G sharp minor (""La Campanella"") - Live At The Royal Albert Hall/2012";26;2012;classical;0,359;0,255;0,552
Franz Liszt;"Etude d'exécution transcendante S.139 : N°3 en fa majeur ""Paysage"" - Remasterisé en 2011 - Multi channel";14;2012;classical;0,484;0,0263;0,0911
Ludwig van Beethoven;"Piano Sonata No. 14 In C Sharp Minor, Op. 27 No. 2 -""Moonlight"": 3. Presto agitato";15;2012;classical;0,25;0,248;0,15
Ludwig van Beethoven;"Beethoven: Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""";23;2012;classical;0,105;0,032;0,458
Ludwig van Beethoven;"Piano Sonata No. 14 In C Sharp Minor, Op. 27 No. 2 -""Moonlight"": 1. Adagio sostenuto - Live At The Royal Albert Hall/2012";20;2012;classical;0,133;0,00663;0,168
Frédéric Chopin;Études, Op. 25: No. 8 in D-Flat Major;17;2012;classical;0,297;0,298;0,787
Claude Debussy;Préludes / Book 1, L.117: 1. Danseuses de Delphes;20;2012;classical;0,517;0,00363;0,0869
Claude Debussy;Préludes / Book 1, L.117: 2. Voiles;20;2012;classical;0,323;0,00593;0,0364
Claude Debussy;Prélude à l'après-midi d'un faune, L. 86;17;2012;classical;0,137;0,0419;0,0315
Ludwig van Beethoven;"Piano Sonata No. 14 In C Sharp Minor, Op. 27 No. 2 -""Moonlight"": 3. Presto agitato - Live At The Royal Albert Hall/2012";20;2012;classical;0,252;0,23;0,0985
Claude Debussy;Préludes / Book 1, L.117: 5. Les collines d'Anacapri;20;2012;classical;0,213;0,0396;0,0787
Claude Debussy;Préludes / Book 1, L.117: 6. Des pas sur la neige;19;2012;classical;0,505;0,00106;0,147
Felix Mendelssohn;Octet in E Flat Major, Op. 20, MWV R20: IV. Presto;13;2012;classical;0,345;0,27;0,537
Ludwig van Beethoven;Diabelli Variations, Op. 120: Variation XXIV. Fughetta (Andante);19;2012;classical;0,386;0,0164;0,611
Ludwig van Beethoven;Violin concerto in D Major, Op. 61: III. Rondo - Allegro;20;2012;classical;0,347;0,128;0,24
Sergei Rachmaninoff;Piano Concerto No. 3 in D Minor, Op. 30: I. Allegro ma non tanto;22;2012;classical;0,262;0,116;0,0467
Ludwig van Beethoven;"Piano Sonata No. 14 In C Sharp Minor, Op. 27 No. 2 -""Moonlight"": 1. Adagio sostenuto";13;2012;classical;0,288;0,0144;0,159
Frédéric Chopin;Nocturne No. 13 in C minor, Op. 48 No. 1 - Live At The Royal Albert Hall/2012;17;2012;classical;0,307;0,115;0,0553
Sergei Rachmaninoff;Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve;20;2012;classical;0,356;0,19;0,072
Claude Debussy;Préludes / Book 1, L.117: 10. La cathédrale engloutie;19;2012;classical;0,473;0,00409;0,0385
Claude Debussy;Préludes / Book 1, L.117: 3. Le vent dans la plaine;18;2012;classical;0,342;0,0214;0,0641
Ludwig van Beethoven;Beethoven: Fortepiano and Horn in F op. 17, II. Poco adagio, quasi Andante;21;2012;classical;0,419;0,00728;0,059
Claude Debussy;Nocturnes, L. 91: 1. Nuages;13;2012;classical;0,0963;0,0052;0,031
Sergei Rachmaninoff;5 Morceaux de fantaisie, Op. 3: No. 1 Elégie in E-Flat Minor;18;2012;classical;0,27;0,0209;0,0988
Frédéric Chopin;"Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": III. Marche funèbre. Lento";21;2012;classical;0,447;0,00323;0,0466
Frédéric Chopin;"Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": I. Grave - Doppio movimento";21;2012;classical;0,334;0,12;0,0392
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Psalm 103 (104), ""O praise the Lord""";17;2012;classical;0,0998;0,0259;0,0364
Ludwig van Beethoven;"Symphony No. 3 in E-Flat Major, Op. 55 ""Eroica"": II. Marcia funebre: Adagio assai";11;2012;classical;0,188;0,0159;0,0386
Ludwig van Beethoven;"Piano Sonata No. 14 In C Sharp Minor, Op. 27 No. 2 -""Moonlight"": 2. Allegretto";12;2012;classical;0,432;0,0389;0,593
Ludwig van Beethoven;"Symphony No. 3 in E-Flat Major, Op. 55 ""Eroica"": III. Scherzo: Allegro vivace";11;2012;classical;0,383;0,128;0,167
Ludwig van Beethoven;Symphony No. 1 in C Major, Op. 21: IV. Adagio - Allegro molto;11;2012;classical;0,338;0,102;0,178
Sergei Rachmaninoff;Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato;17;2012;classical;0,306;0,0619;0,0395
Sergei Rachmaninoff;Études-Tableaux, Op. 39: No. 6 in A Minor;18;2012;classical;0,287;0,203;0,232
Ludwig van Beethoven;Symphony No. 1 in C Major, Op. 21: I. Adagio molto - Allegro con brio;12;2012;classical;0,235;0,0481;0,0627
Ludwig van Beethoven;Symphony No. 1 in C Major, Op. 21: III. Menuetto - Allegro molto e vivace;11;2012;classical;0,335;0,106;0,124
Franz Liszt;5 Kleine Klavierstucke, S192/R60: No. 3. Sehr langsam;14;2012;classical;0,587;0,00318;0,464
Frédéric Chopin;Nocturne in C-Sharp Minor, Op. Posth., KK IVa, No. 16, B. 49;21;2012;classical;0,291;0,00321;0,112
Claude Debussy;Préludes / Book 1, L.117: 4. Les sons et les parfums tournent dans l'air du soir;17;2012;classical;0,376;0,00582;0,0362
Ludwig van Beethoven;"Symphony No. 3 in E-Flat Major, Op. 55 ""Eroica"": IV. Finale: Allegro molto";11;2012;classical;0,299;0,0602;0,0761
Ludwig van Beethoven;"Fantasia in C Minor, Op. 80 ""Choral Fantasy"": I. Adagio";17;2012;classical;0,338;0,0981;0,0375
Sergei Rachmaninoff;Bogoroditsye dyevo (Ave Maria);18;2012;classical;0,199;0,0628;0,0607
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": O Joyful Light";17;2012;classical;0,169;0,0369;0,0368
Ludwig van Beethoven;Beethoven's Fifth;12;2012;classical;0,53;0,422;0,31
Ludwig van Beethoven;Symphony No. 1 in C Major, Op. 21: II. Andante cantabile con moto;11;2012;classical;0,226;0,012;0,0524
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Hexapsalms: Glory to God on high";18;2012;classical;0,16;0,0338;0,0347
Claude Debussy;Reverie;17;2012;classical;0,333;0,00347;0,088
Frédéric Chopin;Grande Valse Brillante, Op. 18, No. 1 in E-Flat Major;19;2012;classical;0,4;0,0755;0,232
Felix Mendelssohn;Octet in E Flat Major, Op. 20, MWV R20: III. Scherzo (Allegro leggierissimo);11;2012;classical;0,385;0,0689;0,301
Sergei Rachmaninoff;Piano Concerto No. 3 in D Minor, Op. 30: II. Intermezzo. Adagio;18;2012;classical;0,262;0,0476;0,0379
Sergei Rachmaninoff;Piano Sonata No. 2 in B-Flat Minor, Op. 36: II. Non allegro. Lento;17;2012;classical;0,256;0,0259;0,0379
Claude Debussy;2 Arabesques: No. 1 in E Major;17;2012;classical;0,298;0,0138;0,0839
Frédéric Chopin;Études, Op. 25: No. 12 in C Minor;9;2012;classical;0,284;0,141;0,0397
Felix Mendelssohn;Octet in E Flat Major, Op. 20, MWV R20: II. Andante;10;2012;classical;0,187;0,0406;0,135
Sergei Rachmaninoff;Études-Tableaux, Op. 39: No. 5 in E-Flat Minor;16;2012;classical;0,244;0,147;0,0382
Ludwig van Beethoven;"Piano Sonata No. 23 in F minor, Op. 57 -""Appassionata"": 3. Allegro ma non troppo";10;2012;classical;0,238;0,231;0,215
Claude Debussy;Nocturnes, L. 91: 3. Sirènes;11;2012;classical;0,0715;0,0405;0,0314
Claude Debussy;Préludes / Book 1, L.117: 12. Minstrels;15;2012;classical;0,432;0,0428;0,125
Claude Debussy;La Mer, L. 109, CD 111: II. Jeux de vagues;15;2012;classical;0,0832;0,0388;0,0345
Claude Debussy;Suite bergamasque: III. Clair de lune;16;2012;classical;0,204;0,00428;0,0399
Frédéric Chopin;Piano Concerto No. 2 in F Minor, Op. 21: I. Maestoso;19;2012;classical;0,172;0,0923;0,051
Frédéric Chopin;"Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": II. Scherzo";18;2012;classical;0,25;0,0222;0,0867
Frédéric Chopin;Piano Concerto No. 2 in F Minor, Op. 21: II. Larghetto;19;2012;classical;0,232;0,0267;0,0399
Ludwig van Beethoven;Piano Concerto No. 3 in C Minor, Op. 37: II. Largo;14;2012;classical;0,255;0,0176;0,0392
Franz Liszt;5 Kleine Klavierstucke, S192/R60: No. 4. Andantino;14;2012;classical;0,601;0,00166;0,277
Franz Liszt;5 Kleine Klavierstucke, S192/R60: No. 1. Sehr langsam;13;2012;classical;0,502;0,00674;0,0837
Sergei Rachmaninoff;Piano Sonata No. 2 in B-Flat Minor, Op. 36: III. Allegro molto;14;2012;classical;0,301;0,128;0,0477
Sergei Rachmaninoff;Études-Tableaux, Op. 39: No. 4 in B Minor;15;2012;classical;0,378;0,175;0,453
Claude Debussy;Nocturnes, L. 91: 2. Fêtes;11;2012;classical;0,152;0,168;0,045
Claude Debussy;The Girl With The Flaxen Hair;10;2012;classical;0,467;0,0194;0,158
Claude Debussy;Préludes / Book 1, L.117: 11. La danse de Puck;15;2012;classical;0,354;0,0385;0,0392
Claude Debussy;Préludes / Book 1, L.117: 9. La sérénade interrompue;14;2012;classical;0,239;0,0183;0,0708
Claude Debussy;Images, Book 1, L. 110: No. 1. Reflets dans l'eau;13;2012;classical;0,245;0,0185;0,0338
